workout_id,start_time,end_time,exercise_index,exercise_title,exercise_notes,set_index,set_weight_lbs,set_reps,workout_type,volume,workout_duration,weight_score
8068e25a-2016-4691-9930-08bf083c3149,2025-01-24 17:18:25-05,2025-01-24 18:21:22-05,1,Chest Fly (Machine),,0,225.04,7,Upper,1575.28,62.95,1.05
8068e25a-2016-4691-9930-08bf083c3149,2025-01-24 17:18:25-05,2025-01-24 18:21:22-05,1,Chest Fly (Machine),,1,225.04,5,Upper,1125.2,62.95,1.05
6716fa33-d530-45f1-9050-6cf69aa1b3e1,2025-01-21 13:10:43-05,2025-01-21 14:09:06-05,1,Chest Fly (Machine),,0,220.04,7,Upper,1540.28,58.38,0.7
31e91463-aca2-44e0-968d-f7a3165b166a,2025-01-17 12:04:23-05,2025-01-17 13:08:08-05,1,Chest Fly (Machine),,0,220.04,8,Upper,1760.32,63.75,0.7
2a65e79f-536c-4805-9415-15d0f48bc225,2025-01-09 11:44:51-05,2025-01-09 12:41:05-05,1,Chest Fly (Machine),,0,205.04,8,Upper,1640.32,56.23,-0.35
813d01aa-5f22-4f95-87a0-0ea4e18e7d6e,2025-01-02 17:22:50-05,2025-01-02 18:37:38-05,1,Chest Fly (Machine),,0,200.03,8,Upper,1600.24,74.8,-0.7
a637d857-fc88-4658-92a5-300d36be7105,2024-12-30 12:39:29-05,2024-12-30 13:38:38-05,1,Chest Fly (Machine),,0,200.03,7,Upper,1400.21,59.15,-0.7
2fe217b7-d86e-469e-a7d9-c4dc90cf14d8,2024-12-28 10:35:59-05,2024-12-28 11:49:46-05,1,Chest Fly (Machine),,0,195.03,8,Upper,1560.24,73.78,-1.05
79a4f9f4-4883-485f-9d24-a82301faf734,2024-12-24 11:43:26-05,2024-12-24 12:49:00-05,1,Chest Fly (Machine),,0,190.03,8,Upper,1520.24,65.57,-1.4
2cd20344-fb15-4a8b-ba61-5c52dda16264,2024-12-16 16:43:14-05,2024-12-16 17:56:09-05,1,Chest Fly (Machine),,0,185.03,8,Upper,1480.24,72.92,-1.76
da9d4713-42c3-4700-ab3a-e40d7ba6fc7b,2024-12-09 17:30:48-05,2024-12-09 18:40:39-05,1,Chest Fly (Machine),,0,180.03,8,Upper,1440.24,69.85,-2.11
4dc806b0-0e7c-46c5-a618-0a187c35d835,2025-09-08 16:46:21-04,2025-09-08 17:16:06-04,3,Chest Press (Machine),,0,145.02,5,Other,725.1,29.75,1.22
4dc806b0-0e7c-46c5-a618-0a187c35d835,2025-09-08 16:46:21-04,2025-09-08 17:16:06-04,3,Chest Press (Machine),,1,125.02,6,Other,750.12,29.75,-0.34
a72fb476-9c09-4b16-9bb3-3ff576230405,2025-09-03 17:15:54-04,2025-09-03 17:52:24-04,0,Chest Press (Machine),,0,145.02,7,Upper,1015.14,36.5,1.22
a72fb476-9c09-4b16-9bb3-3ff576230405,2025-09-03 17:15:54-04,2025-09-03 17:52:24-04,0,Chest Press (Machine),,1,145.02,6,Upper,870.12,36.5,1.22
308e5603-6941-426d-b366-ad5c23e91502,2025-08-29 11:06:04-04,2025-08-29 11:43:46-04,0,Chest Press (Machine),,0,135.02,8,Upper,1080.16,37.7,0.44
308e5603-6941-426d-b366-ad5c23e91502,2025-08-29 11:06:04-04,2025-08-29 11:43:46-04,0,Chest Press (Machine),,1,145.02,6,Upper,870.12,37.7,1.22
7833326c-ded9-4460-855a-711e6d5135a2,2025-08-21 17:14:44-04,2025-08-21 18:19:32-04,2,Chest Press (Machine),,0,145.02,6,Upper,870.12,64.8,1.22
7833326c-ded9-4460-855a-711e6d5135a2,2025-08-21 17:14:44-04,2025-08-21 18:19:32-04,2,Chest Press (Machine),,1,145.02,4,Upper,580.08,64.8,1.22
77da42b5-874f-4473-b8e2-ae6b82092efc,2025-08-19 16:28:37-04,2025-08-19 17:18:25-04,3,Chest Press (Machine),chest tired,0,145.02,5,Push,725.1,49.8,1.22
77da42b5-874f-4473-b8e2-ae6b82092efc,2025-08-19 16:28:37-04,2025-08-19 17:18:25-04,3,Chest Press (Machine),chest tired,1,125.02,7,Push,875.14,49.8,-0.34
6273e836-7f13-4ae2-b951-b22aa28b8565,2025-08-16 15:16:39-04,2025-08-16 16:10:26-04,0,Chest Press (Machine),,0,145.02,6,Upper,870.12,53.78,1.22
6273e836-7f13-4ae2-b951-b22aa28b8565,2025-08-16 15:16:39-04,2025-08-16 16:10:26-04,0,Chest Press (Machine),,1,145.02,5,Upper,725.1,53.78,1.22
e86a6835-a1ce-4633-9f4e-eaebcc0f3e6d,2025-08-13 15:13:10-04,2025-08-13 16:04:46-04,0,Chest Press (Machine),,0,135.02,10,Upper,1350.2,51.6,0.44
e86a6835-a1ce-4633-9f4e-eaebcc0f3e6d,2025-08-13 15:13:10-04,2025-08-13 16:04:46-04,0,Chest Press (Machine),,1,140.02,6,Upper,840.12,51.6,0.83
0d4de840-5b47-49e4-ac50-94df1983a209,2025-07-30 17:39:44-04,2025-07-30 18:28:22-04,2,Chest Press (Machine),,0,135.02,8,Upper,1080.16,48.63,0.44
0d4de840-5b47-49e4-ac50-94df1983a209,2025-07-30 17:39:44-04,2025-07-30 18:28:22-04,2,Chest Press (Machine),,1,135.02,6,Upper,810.12,48.63,0.44
88ee5dbc-97b1-477a-bb64-b3c1841ea4a3,2025-07-27 18:26:13-04,2025-07-27 19:04:23-04,3,Chest Press (Machine),tired,0,135.02,6,Push,810.12,38.17,0.44
88ee5dbc-97b1-477a-bb64-b3c1841ea4a3,2025-07-27 18:26:13-04,2025-07-27 19:04:23-04,3,Chest Press (Machine),tired,1,125.02,6,Push,750.12,38.17,-0.34
352c2f17-ab2d-4efe-99f4-3e90420336a0,2025-07-23 17:09:12-04,2025-07-23 17:59:31-04,0,Chest Press (Machine),,0,135.02,8,Push,1080.16,50.32,0.44
352c2f17-ab2d-4efe-99f4-3e90420336a0,2025-07-23 17:09:12-04,2025-07-23 17:59:31-04,0,Chest Press (Machine),,1,135.02,5,Push,675.1,50.32,0.44
9d0d3cec-e568-4b9e-8e0b-01b9a1236612,2025-07-18 17:46:59-04,2025-07-18 18:46:13-04,0,Chest Press (Machine),,0,135.02,8,Upper,1080.16,59.23,0.44
9d0d3cec-e568-4b9e-8e0b-01b9a1236612,2025-07-18 17:46:59-04,2025-07-18 18:46:13-04,0,Chest Press (Machine),,1,135.02,5,Upper,675.1,59.23,0.44
031045ad-7b23-4881-8185-bfe52415b5d7,2025-07-16 14:55:27-04,2025-07-16 15:49:53-04,0,Chest Press (Machine),Weight = per side,0,125.02,10,Upper,1250.2,54.43,-0.34
031045ad-7b23-4881-8185-bfe52415b5d7,2025-07-16 14:55:27-04,2025-07-16 15:49:53-04,0,Chest Press (Machine),Weight = per side,1,135.02,6,Upper,810.12,54.43,0.44
9c84f94f-1c44-4df2-a360-fe5ba5ad367b,2025-07-10 15:43:44-04,2025-07-10 16:31:18-04,0,Chest Press (Machine),,0,125.02,10,Upper,1250.2,47.57,-0.34
9c84f94f-1c44-4df2-a360-fe5ba5ad367b,2025-07-10 15:43:44-04,2025-07-10 16:31:18-04,0,Chest Press (Machine),,1,135.02,5,Upper,675.1,47.57,0.44
5737d910-5a0c-470f-9b9c-b90906cadf18,2025-06-18 11:32:13-04,2025-06-18 12:43:12-04,0,Chest Press (Machine),,0,130.02,8,Upper,1040.16,70.98,0.05
5737d910-5a0c-470f-9b9c-b90906cadf18,2025-06-18 11:32:13-04,2025-06-18 12:43:12-04,0,Chest Press (Machine),,1,130.02,5,Upper,650.1,70.98,0.05
5430f3db-290a-47bb-a155-fa5f5b0c996b,2025-06-11 16:19:42-04,2025-06-11 17:09:45-04,0,Chest Press (Machine),tuck elbows; upper chest bias,0,125.02,9,Push,1125.18,50.05,-0.34
5430f3db-290a-47bb-a155-fa5f5b0c996b,2025-06-11 16:19:42-04,2025-06-11 17:09:45-04,0,Chest Press (Machine),tuck elbows; upper chest bias,1,125.02,7,Push,875.14,50.05,-0.34
2c98d406-00ca-4322-a318-241ee8ec78fd,2025-05-20 18:45:01-04,2025-05-20 19:46:53-04,0,Chest Press (Machine),,0,125.02,7,Upper,875.14,61.87,-0.34
2c98d406-00ca-4322-a318-241ee8ec78fd,2025-05-20 18:45:01-04,2025-05-20 19:46:53-04,0,Chest Press (Machine),,1,125.02,6,Upper,750.12,61.87,-0.34
